iter	Passed	Remaining
0	269	134640
1	357	89043
2	427	70803
3	502	62338
4	573	56769
5	641	52800
6	714	50320
7	783	48185
8	853	46549
9	938	45979
10	1006	44756
11	1076	43765
12	1145	42927
13	1216	42216
14	1222	39523
15	1293	39114
16	1362	38715
17	1433	38380
18	1501	38004
19	1524	36582
20	1597	36437
21	1674	36391
22	1750	36295
23	1821	36123
24	1892	35963
25	1962	35771
26	2034	35633
27	2102	35445
28	2171	35263
29	2238	35062
30	2309	34944
31	2385	34880
32	2453	34714
33	2530	34688
34	2599	34534
35	2672	34446
36	2749	34401
37	2829	34397
38	2910	34402
39	2991	34406
40	3080	34482
41	3174	34613
42	3257	34616
43	3336	34576
44	3413	34516
45	3486	34408
46	3489	33633
47	3561	33533
48	3964	36491
49	5167	46509
50	5308	46737
51	6079	52373
52	6595	55624
53	7257	59943
54	7981	64575
55	8195	64980
56	8421	65451
57	8575	65348
58	8703	65057
59	8823	64702
60	8946	64383
61	9049	63933
62	9154	63500
63	9261	63094
64	9344	62532
65	9422	61962
66	9499	61394
67	9575	60833
68	9650	60279
69	9723	59728
70	9791	59165
71	9860	58615
72	9930	58088
73	9998	57560
74	10069	57061
75	10137	56556
76	10210	56093
77	10213	55256
78	10287	54822
79	10357	54378
80	10427	53940
81	10496	53508
82	10565	53083
83	10635	52671
84	10704	52262
85	10711	51564
86	10713	50858
87	10784	50492
88	10855	50131
89	10927	49779
90	10996	49423
91	11067	49080
92	11136	48735
93	11208	48410
94	11275	48069
95	11345	47744
96	11415	47426
97	11484	47109
98	11555	46806
99	11625	46501
100	11698	46213
101	11767	45916
102	11839	45632
103	11909	45347
104	11982	45076
105	11984	44545
106	12052	44268
107	12121	43995
108	12194	43742
109	12276	43524
110	12351	43286
111	12377	42877
112	12446	42627
113	12558	42524
114	12649	42349
115	12720	42110
116	12790	41871
117	12859	41629
118	12931	41403
119	13001	41171
120	13069	40936
121	13141	40717
122	13214	40502
123	13284	40282
124	13353	40059
125	13421	39837
126	13488	39616
127	13562	39415
128	13636	39218
129	13706	39011
130	13777	38809
131	13848	38607
132	13919	38409
133	13992	38217
134	14062	38020
135	14133	37827
136	14209	37649
137	14283	37467
138	14352	37274
139	14355	36914
140	14362	36568
141	14432	36387
142	14434	36036
143	14505	35859
144	14574	35682
145	14643	35505
146	14715	35336
147	14783	35161
148	14852	34989
149	14921	34816
